Ring	FRC	FRCSmoothed	Threshold
272	6.0623854398727417e-02	1.0424789786338806e-01	2.0629997551441193e-01
273	1.4834505319595337e-01	1.0957085341215134e-01	2.0678591728210449e-01
274	1.0141769796609879e-01	1.1942028999328613e-01	2.0732700824737549e-01
275	5.0392679870128632e-02	1.3109126687049866e-01	2.0774358510971069e-01
276	1.7405781149864197e-01	1.4356166124343872e-01	2.0736499130725861e-01
277	2.6867860555648804e-01	1.5800921618938446e-01	2.0784233510494232e-01
278	2.1787519752979279e-01	1.7314431071281433e-01	2.0855338871479034e-01
279	7.1013122797012329e-02	1.8808490037918091e-01	2.0845876634120941e-01
280	1.6146790981292725e-01	2.0236757397651672e-01	2.0853966474533081e-01
281	2.6542568206787109e-01	2.1612095832824707e-01	2.0833858847618103e-01
